model,dataset,line_type,k,pass_at_k,n_cliff_tokens
Qwen3-8B,math500,del_success,32,0.9999999999999858,78
Qwen3-8B,math500,del_success,64,1.0,78
Qwen3-8B,math500,keep_success,1,0.578125,78
Qwen3-8B,math500,keep_success,2,0.7945845004668532,78
Qwen3-8B,math500,keep_success,4,0.9302657472296163,78
Qwen3-8B,math500,keep_success,8,0.9831512377420054,78
Qwen3-8B,math500,keep_success,16,0.9981142037042963,78
Qwen3-8B,math500,keep_success,32,0.9999897908875944,78
Qwen3-8B,math500,keep_success,64,1.0,78
Qwen3-8B,math500,del_failure,1,0.47156762295081966,78
Qwen3-8B,math500,del_failure,2,0.6974856882643768,78
Qwen3-8B,math500,del_failure,4,0.8839396917317786,78
Qwen3-8B,math500,del_failure,8,0.97599143201196,78
Qwen3-8B,math500,del_failure,16,0.9981733004723897,78
Qwen3-8B,math500,del_failure,32,0.9999912086853113,78
Qwen3-8B,math500,del_failure,64,1.0,78
Qwen3-8B,math500,keep_failure,1,0.41623975409836067,78
Qwen3-8B,math500,keep_failure,2,0.6276915820973199,78
Qwen3-8B,math500,keep_failure,4,0.8149817627027406,78
Qwen3-8B,math500,keep_failure,8,0.9164205597336808,78
Qwen3-8B,math500,keep_failure,16,0.9447711400721199,78
Qwen3-8B,math500,keep_failure,32,0.9503463227667974,78
Qwen3-8B,math500,keep_failure,64,0.9508196721311475,78
Qwen3-8B,aime25,del_success,1,0.51953125,9
Qwen3-8B,aime25,del_success,2,0.748387896825397,9
Qwen3-8B,aime25,del_success,4,0.9144597057490368,9
Qwen3-8B,aime25,del_success,8,0.9846864260336873,9
Qwen3-8B,aime25,del_success,16,0.9994925013033952,9
Qwen3-8B,aime25,del_success,32,0.9999999672767674,9
Qwen3-8B,aime25,del_success,64,1.0,9
Qwen3-8B,aime25,keep_success,1,0.546875,9
Qwen3-8B,aime25,keep_success,2,0.7531001984126984,9
Qwen3-8B,aime25,keep_success,4,0.8948358924479363,9
Qwen3-8B,aime25,keep_success,8,0.969317505626464,9
Qwen3-8B,aime25,keep_success,16,0.9974802641422182,9
Qwen3-8B,aime25,keep_success,32,0.9999975372024628,9
Qwen3-8B,aime25,keep_success,64,1.0,9
Qwen3-8B,aime25,del_failure,1,0.271875,9
Qwen3-8B,aime25,del_failure,2,0.4712301587301588,9
Qwen3-8B,aime25,del_failure,4,0.7235148951172219,9
Qwen3-8B,aime25,del_failure,8,0.9273570684627886,9
Qwen3-8B,aime25,del_failure,16,0.9959716551773795,9
Qwen3-8B,aime25,del_failure,32,0.9999976753178557,9
Qwen3-8B,aime25,del_failure,64,1.0,9
Qwen3-8B,aime25,keep_failure,1,0.1,9
Qwen3-8B,aime25,keep_failure,2,0.1802579365079365,9
Qwen3-8B,aime25,keep_failure,4,0.29699390597063785,9
Qwen3-8B,aime25,keep_failure,8,0.4263987176902063,9
Qwen3-8B,aime25,keep_failure,16,0.5342349112765324,9
Qwen3-8B,aime25,keep_failure,32,0.650788116181283,9
Qwen3-8B,aime25,keep_failure,64,0.8,9
Qwen3-4B,gsm1k,del_success,1,0.5859375,14
Qwen3-4B,gsm1k,del_success,2,0.7936507936507936,14
Qwen3-4B,gsm1k,del_success,4,0.9367600182149363,14
Qwen3-4B,gsm1k,del_success,8,0.9920258936576332,14
Qwen3-4B,gsm1k,del_success,16,0.99985633487639,14
Qwen3-4B,gsm1k,del_success,32,0.9999999980819227,14
Qwen3-4B,gsm1k,del_success,64,1.0,14
Qwen3-4B,gsm1k,keep_success,1,0.5703125,14
Qwen3-4B,gsm1k,keep_success,2,0.7770337301587302,14
Qwen3-4B,gsm1k,keep_success,4,0.9165344614842236,14
Qwen3-4B,gsm1k,keep_success,8,0.9790280733360978,14
Qwen3-4B,gsm1k,keep_success,16,0.9983199975729357,14
Qwen3-4B,gsm1k,keep_success,32,0.9999983581349752,14
Qwen3-4B,gsm1k,keep_success,64,1.0,14
Qwen3-4B,gsm1k,del_failure,1,0.408203125,14
Qwen3-4B,gsm1k,del_failure,2,0.6394469246031746,14
Qwen3-4B,gsm1k,del_failure,4,0.8533470732290801,14
Qwen3-4B,gsm1k,del_failure,8,0.9669268479984184,14
Qwen3-4B,gsm1k,del_failure,16,0.9971671009890998,14
Qwen3-4B,gsm1k,del_failure,32,0.9999914043018534,14
Qwen3-4B,gsm1k,del_failure,64,1.0,14
Qwen3-4B,gsm1k,keep_failure,1,0.248046875,14
Qwen3-4B,gsm1k,keep_failure,2,0.3957713293650794,14
Qwen3-4B,gsm1k,keep_failure,4,0.5484640197300495,14
Qwen3-4B,gsm1k,keep_failure,8,0.6588787011798335,14
Qwen3-4B,gsm1k,keep_failure,16,0.73321101886991,14
Qwen3-4B,gsm1k,keep_failure,32,0.8134887580342361,14
Qwen3-4B,gsm1k,keep_failure,64,0.875,14
Qwen3-4B,math500,del_success,1,0.6779513888888888,49
Qwen3-4B,math500,del_success,2,0.8617724867724869,49
Qwen3-4B,math500,del_success,4,0.9646073960755346,49
Qwen3-4B,math500,del_success,8,0.996451237790967,49
Qwen3-4B,math500,del_success,16,0.9999613997106547,49
Qwen3-4B,math500,del_success,32,0.9999999998232961,49
Qwen3-4B,math500,del_success,64,1.0,49
Qwen3-4B,math500,keep_success,1,0.6024305555555556,49
Qwen3-4B,math500,keep_success,2,0.8079254850088182,49
Qwen3-4B,math500,keep_success,4,0.9326677781694968,49
Qwen3-4B,math500,keep_success,8,0.9827321595605297,49
Qwen3-4B,math500,keep_success,16,0.9975585824361259,49
Qwen3-4B,math500,keep_success,32,0.9999763388971981,49
Qwen3-4B,math500,keep_success,64,1.0,49
Qwen3-4B,math500,del_failure,1,0.4944556451612903,49
Qwen3-4B,math500,del_failure,2,0.7069412442396313,49
Qwen3-4B,math500,del_failure,4,0.8731792848491642,49
Qwen3-4B,math500,del_failure,8,0.9641363573798848,49
Qwen3-4B,math500,del_failure,16,0.9953390940088311,49
Qwen3-4B,math500,del_failure,32,0.9999168318059523,49
Qwen3-4B,math500,del_failure,64,1.0,49
Qwen3-4B,math500,keep_failure,1,0.36743951612903225,49
Qwen3-4B,math500,keep_failure,2,0.551427291346646,49
Qwen3-4B,math500,keep_failure,4,0.7115407813387206,49
Qwen3-4B,math500,keep_failure,8,0.808275505757628,49
Qwen3-4B,math500,keep_failure,16,0.8597577822557136,49
Qwen3-4B,math500,keep_failure,32,0.8856959348138648,49
Qwen3-4B,math500,keep_failure,64,0.9032258064516129,49
Qwen3-4B,aime25,del_success,1,0.5859375,9
Qwen3-4B,aime25,del_success,2,0.814484126984127,9
Qwen3-4B,aime25,del_success,4,0.9563880285059555,9
Qwen3-4B,aime25,del_success,8,0.9973363424048192,9
Qwen3-4B,aime25,del_success,16,0.9999958447233972,9
Qwen3-4B,aime25,del_success,32,0.9999999999999982,9
Qwen3-4B,aime25,del_success,64,1.0,9
Qwen3-4B,aime25,keep_success,1,0.234375,9
Qwen3-4B,aime25,keep_success,2,0.4164186507936508,9
Qwen3-4B,aime25,keep_success,4,0.6656467981163909,9
Qwen3-4B,aime25,keep_success,8,0.8967246399547537,9
Qwen3-4B,aime25,keep_success,16,0.9926528732968796,9
Qwen3-4B,aime25,keep_success,32,0.999994459208153,9
Qwen3-4B,aime25,keep_success,64,1.0,9
Qwen3-4B,aime25,del_failure,1,0.46875,9
Qwen3-4B,aime25,del_failure,2,0.6724773242630385,9
Qwen3-4B,aime25,del_failure,4,0.8472715368537684,9
Qwen3-4B,aime25,del_failure,8,0.9550468180144792,9
Qwen3-4B,aime25,del_failure,16,0.9949748209402752,9
Qwen3-4B,aime25,del_failure,32,0.9999750364702837,9
Qwen3-4B,aime25,del_failure,64,1.0,9
Qwen3-4B,aime25,keep_failure,1,0.34375,9
Qwen3-4B,aime25,keep_failure,2,0.536281179138322,9
Qwen3-4B,aime25,keep_failure,4,0.7132611241217798,9
Qwen3-4B,aime25,keep_failure,8,0.8131836184610314,9
Qwen3-4B,aime25,keep_failure,16,0.8506813629568424,9
Qwen3-4B,aime25,keep_failure,32,0.8570819957774087,9
Qwen3-4B,aime25,keep_failure,64,0.8571428571428571,9
Qwen3-0.6B,gsm1k,del_success,1,0.5424107142857143,48
Qwen3-0.6B,gsm1k,del_success,2,0.7386621315192744,48
Qwen3-0.6B,gsm1k,del_success,4,0.8806519963881906,48
Qwen3-0.6B,gsm1k,del_success,8,0.9571269417992131,48
Qwen3-0.6B,gsm1k,del_success,16,0.9912856276481418,48
Qwen3-0.6B,gsm1k,del_success,32,0.9998545066659431,48
Qwen3-0.6B,gsm1k,del_success,64,1.0,48
Qwen3-0.6B,gsm1k,keep_success,1,0.4955357142857143,48
Qwen3-0.6B,gsm1k,keep_success,2,0.6370464852607709,48
Qwen3-0.6B,gsm1k,keep_success,4,0.7215525025451746,48
Qwen3-0.6B,gsm1k,keep_success,8,0.7613115443492265,48
Qwen3-0.6B,gsm1k,keep_success,16,0.7978378031960054,48
Qwen3-0.6B,gsm1k,keep_success,32,0.8401360544217686,48
Qwen3-0.6B,gsm1k,keep_success,64,0.8571428571428571,48
Qwen3-0.6B,gsm1k,del_failure,1,0.5160060975609756,48
Qwen3-0.6B,gsm1k,del_failure,2,0.7318887921022068,48
Qwen3-0.6B,gsm1k,del_failure,4,0.901202153547183,48
Qwen3-0.6B,gsm1k,del_failure,8,0.9820157890047347,48
Qwen3-0.6B,gsm1k,del_failure,16,0.999251820939494,48
Qwen3-0.6B,gsm1k,del_failure,32,0.9999997527821305,48
Qwen3-0.6B,gsm1k,del_failure,64,1.0,48
Qwen3-0.6B,gsm1k,keep_failure,1,0.27972560975609756,48
Qwen3-0.6B,gsm1k,keep_failure,2,0.43153552071234985,48
Qwen3-0.6B,gsm1k,keep_failure,4,0.5880385556990722,48
Qwen3-0.6B,gsm1k,keep_failure,8,0.717593926609003,48
Qwen3-0.6B,gsm1k,keep_failure,16,0.8034898303591396,48
Qwen3-0.6B,gsm1k,keep_failure,32,0.8466015455980153,48
Qwen3-0.6B,gsm1k,keep_failure,64,0.8780487804878049,48
Qwen3-0.6B,math500,del_success,1,0.5282738095238095,72
Qwen3-0.6B,math500,del_success,2,0.7425831443688585,72
Qwen3-0.6B,math500,del_success,4,0.9058355097723911,72
Qwen3-0.6B,math500,del_success,8,0.9823039545171677,72
Qwen3-0.6B,math500,del_success,16,0.9992709856533901,72
Qwen3-0.6B,math500,del_success,32,0.9999998238923353,72
Qwen3-0.6B,math500,del_success,64,1.0,72
Qwen3-0.6B,math500,keep_success,1,0.47842261904761907,72
Qwen3-0.6B,math500,keep_success,2,0.6950821995464851,72
Qwen3-0.6B,math500,keep_success,4,0.8735907856885041,72
Qwen3-0.6B,math500,keep_success,8,0.9647956673237342,72
Qwen3-0.6B,math500,keep_success,16,0.9943040457759603,72
Qwen3-0.6B,math500,keep_success,32,0.9998785719142537,72
Qwen3-0.6B,math500,keep_success,64,1.0,72
Qwen3-0.6B,math500,del_failure,1,0.4730392156862745,72
Qwen3-0.6B,math500,del_failure,2,0.686293962029256,72
Qwen3-0.6B,math500,del_failure,4,0.8615653735493849,72
Qwen3-0.6B,math500,del_failure,8,0.9562703027038166,72
Qwen3-0.6B,math500,del_failure,16,0.9918320718381919,72
Qwen3-0.6B,math500,del_failure,32,0.9997462113569549,72
Qwen3-0.6B,math500,del_failure,64,1.0,72
Qwen3-0.6B,math500,keep_failure,1,0.37254901960784315,72
Qwen3-0.6B,math500,keep_failure,2,0.5564795362589482,72
Qwen3-0.6B,math500,keep_failure,4,0.715890291424167,72
Qwen3-0.6B,math500,keep_failure,8,0.8051952807554618,72
Qwen3-0.6B,math500,keep_failure,16,0.8425206541779027,72
Qwen3-0.6B,math500,keep_failure,32,0.857325371937804,72
Qwen3-0.6B,math500,keep_failure,64,0.8627450980392157,72
Qwen3-0.6B,aime25,del_success,1,0.5364583333333334,4
Qwen3-0.6B,aime25,del_success,2,0.7791005291005292,4
Qwen3-0.6B,aime25,del_success,4,0.9470916958357467,4
Qwen3-0.6B,aime25,del_success,8,0.9969136467203049,4
Qwen3-0.6B,aime25,del_success,16,0.9999946035231982,4
Qwen3-0.6B,aime25,del_success,32,0.9999999999999893,4
Qwen3-0.6B,aime25,del_success,64,1.0,4
Qwen3-0.6B,aime25,keep_success,1,0.453125,4
Qwen3-0.6B,aime25,keep_success,2,0.6898148148148149,4
Qwen3-0.6B,aime25,keep_success,4,0.8933513384200852,4
Qwen3-0.6B,aime25,keep_success,8,0.9869572277128711,4
Qwen3-0.6B,aime25,keep_success,16,0.9998867818938714,4
Qwen3-0.6B,aime25,keep_success,32,0.9999999999222885,4
Qwen3-0.6B,aime25,keep_success,64,1.0,4
Qwen3-0.6B,aime25,del_failure,1,0.34375,4
Qwen3-0.6B,aime25,del_failure,2,0.5729166666666667,4
Qwen3-0.6B,aime25,del_failure,4,0.8238365943945003,4
Qwen3-0.6B,aime25,del_failure,8,0.9733335347446964,4
Qwen3-0.6B,aime25,del_failure,16,0.9996591595898531,4
Qwen3-0.6B,aime25,del_failure,32,0.9999999991970842,4
Qwen3-0.6B,aime25,del_failure,64,1.0,4
Qwen3-0.6B,aime25,keep_failure,1,0.390625,4
Qwen3-0.6B,aime25,keep_failure,2,0.6324404761904762,4
Qwen3-0.6B,aime25,keep_failure,4,0.870547518319861,4
Qwen3-0.6B,aime25,keep_failure,8,0.9860999888425317,4
Qwen3-0.6B,aime25,keep_failure,16,0.9999228061788866,4
Qwen3-0.6B,aime25,keep_failure,32,0.9999999999916072,4
Qwen3-0.6B,aime25,keep_failure,64,1.0,4
Llama-3.1-8B-Instruct,gsm1k,del_success,1,0.6222098214285714,56
Llama-3.1-8B-Instruct,gsm1k,del_success,2,0.8116850907029478,56
Llama-3.1-8B-Instruct,gsm1k,del_success,4,0.9330993998604201,56
Llama-3.1-8B-Instruct,gsm1k,del_success,8,0.9831828328513035,56
Llama-3.1-8B-Instruct,gsm1k,del_success,16,0.9975475513667169,56
Llama-3.1-8B-Instruct,gsm1k,del_success,32,0.9999634998882047,56
Llama-3.1-8B-Instruct,gsm1k,del_success,64,1.0,56
Llama-3.1-8B-Instruct,gsm1k,keep_success,1,0.44642857142857145,56
Llama-3.1-8B-Instruct,gsm1k,keep_success,2,0.6508467970521542,56
Llama-3.1-8B-Instruct,gsm1k,keep_success,4,0.8183418727088931,56
Llama-3.1-8B-Instruct,gsm1k,keep_success,8,0.9105623998311748,56
Llama-3.1-8B-Instruct,gsm1k,keep_success,16,0.9494123339979247,56
Llama-3.1-8B-Instruct,gsm1k,keep_success,32,0.9622401798147429,56
Llama-3.1-8B-Instruct,gsm1k,keep_success,64,0.9642857142857143,56
Llama-3.1-8B-Instruct,gsm1k,del_failure,1,0.5719866071428571,56
Llama-3.1-8B-Instruct,gsm1k,del_failure,2,0.7554917800453513,56
Llama-3.1-8B-Instruct,gsm1k,del_failure,4,0.89210910435036,56
Llama-3.1-8B-Instruct,gsm1k,del_failure,8,0.9689563196749502,56
Llama-3.1-8B-Instruct,gsm1k,del_failure,16,0.9961059432085733,56
Llama-3.1-8B-Instruct,gsm1k,del_failure,32,0.9999570484286663,56
Llama-3.1-8B-Instruct,gsm1k,del_failure,64,1.0,56
Llama-3.1-8B-Instruct,gsm1k,keep_failure,1,0.25948660714285715,56
Llama-3.1-8B-Instruct,gsm1k,keep_failure,2,0.39641794217687076,56
Llama-3.1-8B-Instruct,gsm1k,keep_failure,4,0.5275288063400929,56
Llama-3.1-8B-Instruct,gsm1k,keep_failure,8,0.6265762489388049,56
Llama-3.1-8B-Instruct,gsm1k,keep_failure,16,0.6939256266082202,56
Llama-3.1-8B-Instruct,gsm1k,keep_failure,32,0.7399734342790312,56
Llama-3.1-8B-Instruct,gsm1k,keep_failure,64,0.7857142857142857,56
Llama-3.1-8B-Instruct,math500,del_success,1,0.6174242424242424,77
Llama-3.1-8B-Instruct,math500,del_success,2,0.8165434102934105,77
Llama-3.1-8B-Instruct,math500,del_success,4,0.9453321078122768,77
Llama-3.1-8B-Instruct,math500,del_success,8,0.9931269443252307,77
Llama-3.1-8B-Instruct,math500,del_success,16,0.9998662607331081,77
Llama-3.1-8B-Instruct,math500,del_success,32,0.999999994706617,77
Llama-3.1-8B-Instruct,math500,del_success,64,1.0,77
Llama-3.1-8B-Instruct,math500,keep_success,1,0.4602272727272727,77
Llama-3.1-8B-Instruct,math500,keep_success,2,0.6635852573352572,77
Llama-3.1-8B-Instruct,math500,keep_success,4,0.8248198823621878,77
Llama-3.1-8B-Instruct,math500,keep_success,8,0.9102950317197924,77
Llama-3.1-8B-Instruct,math500,keep_success,16,0.9474832627546974,77
Llama-3.1-8B-Instruct,math500,keep_success,32,0.9655537520777466,77
Llama-3.1-8B-Instruct,math500,keep_success,64,0.9696969696969697,77
Llama-3.1-8B-Instruct,math500,del_failure,1,0.5372869318181818,77
Llama-3.1-8B-Instruct,math500,del_failure,2,0.7421424062049062,77
Llama-3.1-8B-Instruct,math500,del_failure,4,0.8958379118677903,77
Llama-3.1-8B-Instruct,math500,del_failure,8,0.9716693666306941,77
Llama-3.1-8B-Instruct,math500,del_failure,16,0.9938600218236608,77
Llama-3.1-8B-Instruct,math500,del_failure,32,0.9993957493281869,77
Llama-3.1-8B-Instruct,math500,del_failure,64,1.0,77
Llama-3.1-8B-Instruct,math500,keep_failure,1,0.2528409090909091,77
Llama-3.1-8B-Instruct,math500,keep_failure,2,0.3962617243867244,77
Llama-3.1-8B-Instruct,math500,keep_failure,4,0.5449249735589635,77
Llama-3.1-8B-Instruct,math500,keep_failure,8,0.6703481327500683,77
Llama-3.1-8B-Instruct,math500,keep_failure,16,0.7681460641537057,77
Llama-3.1-8B-Instruct,math500,keep_failure,32,0.8287462404580631,77
Llama-3.1-8B-Instruct,math500,keep_failure,64,0.8636363636363636,77
Llama-3.1-8B-Instruct,aime25,del_success,1,0.515625,1
Llama-3.1-8B-Instruct,aime25,del_success,2,0.7693452380952381,1
Llama-3.1-8B-Instruct,aime25,del_success,4,0.9504781420765027,1
Llama-3.1-8B-Instruct,aime25,del_success,8,0.9982177066729062,1
Llama-3.1-8B-Instruct,aime25,del_success,16,0.9999993848032275,1
Llama-3.1-8B-Instruct,aime25,del_success,32,1.0,1
Llama-3.1-8B-Instruct,aime25,del_success,64,1.0,1
Llama-3.1-8B-Instruct,aime25,keep_success,1,0.421875,1
Llama-3.1-8B-Instruct,aime25,keep_success,2,0.6696428571428572,1
Llama-3.1-8B-Instruct,aime25,keep_success,4,0.8960536753040719,1
Llama-3.1-8B-Instruct,aime25,keep_success,8,0.9912773209335725,1
Llama-3.1-8B-Instruct,aime25,keep_success,16,0.9999736436751124,1
Llama-3.1-8B-Instruct,aime25,keep_success,32,0.9999999999997622,1
Llama-3.1-8B-Instruct,aime25,keep_success,64,1.0,1
Llama-3.1-8B-Instruct,aime25,del_failure,1,0.0,1
Llama-3.1-8B-Instruct,aime25,del_failure,2,0.0,1
Llama-3.1-8B-Instruct,aime25,del_failure,4,0.0,1
Llama-3.1-8B-Instruct,aime25,del_failure,8,0.0,1
Llama-3.1-8B-Instruct,aime25,del_failure,16,0.0,1
Llama-3.1-8B-Instruct,aime25,del_failure,32,0.0,1
Llama-3.1-8B-Instruct,aime25,del_failure,64,0.0,1
Llama-3.1-8B-Instruct,aime25,keep_failure,1,0.0,1
Llama-3.1-8B-Instruct,aime25,keep_failure,2,0.0,1
Llama-3.1-8B-Instruct,aime25,keep_failure,4,0.0,1
Llama-3.1-8B-Instruct,aime25,keep_failure,8,0.0,1
Llama-3.1-8B-Instruct,aime25,keep_failure,16,0.0,1
Llama-3.1-8B-Instruct,aime25,keep_failure,32,0.0,1
Llama-3.1-8B-Instruct,aime25,keep_failure,64,0.0,1
gemma-3-4b-it,gsm1k,del_success,1,0.6619318181818182,32
gemma-3-4b-it,gsm1k,del_success,2,0.847447691197691,32
gemma-3-4b-it,gsm1k,del_success,4,0.9442240070875716,32
gemma-3-4b-it,gsm1k,del_success,8,0.9814456116403697,32
gemma-3-4b-it,gsm1k,del_success,16,0.9972375376060163,32
gemma-3-4b-it,gsm1k,del_success,32,0.9999842259753638,32
gemma-3-4b-it,gsm1k,del_success,64,1.0,32
gemma-3-4b-it,gsm1k,keep_success,1,0.5596590909090909,32
gemma-3-4b-it,gsm1k,keep_success,2,0.7711489898989897,32
gemma-3-4b-it,gsm1k,keep_success,4,0.9179216143454642,32
gemma-3-4b-it,gsm1k,keep_success,8,0.9827736614126598,32
gemma-3-4b-it,gsm1k,keep_success,16,0.9989561555252244,32
gemma-3-4b-it,gsm1k,keep_success,32,0.9999991008149526,32
gemma-3-4b-it,gsm1k,keep_success,64,1.0,32
gemma-3-4b-it,gsm1k,del_failure,1,0.5438988095238095,32
gemma-3-4b-it,gsm1k,del_failure,2,0.7643140589569161,32
gemma-3-4b-it,gsm1k,del_failure,4,0.917189042019064,32
gemma-3-4b-it,gsm1k,del_failure,8,0.982639422563245,32
gemma-3-4b-it,gsm1k,del_failure,16,0.9988514200983987,32
gemma-3-4b-it,gsm1k,del_failure,32,0.9999986236429101,32
gemma-3-4b-it,gsm1k,del_failure,64,1.0,32
gemma-3-4b-it,gsm1k,keep_failure,1,0.43973214285714285,32
gemma-3-4b-it,gsm1k,keep_failure,2,0.6338813303099018,32
gemma-3-4b-it,gsm1k,keep_failure,4,0.7805839152160071,32
gemma-3-4b-it,gsm1k,keep_failure,8,0.8490791494745702,32
gemma-3-4b-it,gsm1k,keep_failure,16,0.8758031400670615,32
gemma-3-4b-it,gsm1k,keep_failure,32,0.8930257676942566,32
gemma-3-4b-it,gsm1k,keep_failure,64,0.9047619047619048,32
gemma-3-4b-it,math500,del_success,1,0.7619485294117647,49
gemma-3-4b-it,math500,del_success,2,0.9307306255835667,49
gemma-3-4b-it,math500,del_success,4,0.9907019391574716,49
gemma-3-4b-it,math500,del_success,8,0.9996692415651713,49
gemma-3-4b-it,math500,del_success,16,0.9999997871242414,49
gemma-3-4b-it,math500,del_success,32,1.0,49
gemma-3-4b-it,math500,del_success,64,1.0,49
gemma-3-4b-it,math500,keep_success,1,0.6755514705882353,49
gemma-3-4b-it,math500,keep_success,2,0.8691643323996264,49
gemma-3-4b-it,math500,keep_success,4,0.9694146828482846,49
gemma-3-4b-it,math500,keep_success,8,0.9973274302022525,49
gemma-3-4b-it,math500,keep_success,16,0.9999833035060649,49
gemma-3-4b-it,math500,keep_success,32,0.999999999995049,49
gemma-3-4b-it,math500,keep_success,64,1.0,49
gemma-3-4b-it,math500,del_failure,1,0.49755859375,49
gemma-3-4b-it,math500,del_failure,2,0.6916077628968254,49
gemma-3-4b-it,math500,del_failure,4,0.8459294181712875,49
gemma-3-4b-it,math500,del_failure,8,0.9435885227695813,49
gemma-3-4b-it,math500,del_failure,16,0.9893818030438957,49
gemma-3-4b-it,math500,del_failure,32,0.9995729268989831,49
gemma-3-4b-it,math500,del_failure,64,1.0,49
gemma-3-4b-it,math500,keep_failure,1,0.36474609375,49
gemma-3-4b-it,math500,keep_failure,2,0.5333271329365079,49
gemma-3-4b-it,math500,keep_failure,4,0.6986514677922995,49
gemma-3-4b-it,math500,keep_failure,8,0.8289350976837476,49
gemma-3-4b-it,math500,keep_failure,16,0.9018664320360186,49
gemma-3-4b-it,math500,keep_failure,32,0.9290951349809505,49
gemma-3-4b-it,math500,keep_failure,64,0.9375,49
gemma-3-4b-it,aime25,del_success,1,1.0,3
gemma-3-4b-it,aime25,del_success,2,1.0,3
gemma-3-4b-it,aime25,del_success,4,1.0,3
gemma-3-4b-it,aime25,del_success,8,1.0,3
gemma-3-4b-it,aime25,del_success,16,1.0,3
gemma-3-4b-it,aime25,del_success,32,1.0,3
gemma-3-4b-it,aime25,del_success,64,1.0,3
gemma-3-4b-it,aime25,keep_success,1,0.890625,3
gemma-3-4b-it,aime25,keep_success,2,0.9895833333333334,3
gemma-3-4b-it,aime25,keep_success,4,0.9999449145073154,3
gemma-3-4b-it,aime25,keep_success,8,1.0,3
gemma-3-4b-it,aime25,keep_success,16,1.0,3
gemma-3-4b-it,aime25,keep_success,32,1.0,3
gemma-3-4b-it,aime25,keep_success,64,1.0,3
gemma-3-4b-it,aime25,del_failure,1,0.3515625,3
gemma-3-4b-it,aime25,del_failure,2,0.5379464285714286,3
gemma-3-4b-it,aime25,del_failure,4,0.715499168995996,3
gemma-3-4b-it,aime25,del_failure,8,0.8621069985517089,3
gemma-3-4b-it,aime25,del_failure,16,0.9695520559070177,3
gemma-3-4b-it,aime25,del_failure,32,0.999490773335116,3
gemma-3-4b-it,aime25,del_failure,64,1.0,3
gemma-3-4b-it,aime25,keep_failure,1,0.171875,3
gemma-3-4b-it,aime25,keep_failure,2,0.3125,3
gemma-3-4b-it,aime25,keep_failure,4,0.522419795522651,3
gemma-3-4b-it,aime25,keep_failure,8,0.7623914420135601,3
gemma-3-4b-it,aime25,keep_failure,16,0.9373112251516251,3
gemma-3-4b-it,aime25,keep_failure,32,0.9972891409285907,3
gemma-3-4b-it,aime25,keep_failure,64,1.0,3
